agent,skill,eligibility,risk,status_2026-04-26,notes
orchestrator,read,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,edit,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,list,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,glob,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,grep,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,view,core,GREEN,WORKING,"proven via mission-001 (FORGE read POLICY.md, SENTINEL edit MEMORY.md)"
orchestrator,agent-dream,eligible,GREEN,UNTESTED,
orchestrator,apple-notes,eligible,GREEN,UNTESTED,
orchestrator,apple-reminders,eligible,GREEN,UNTESTED,
orchestrator,article-writing,eligible,GREEN,UNTESTED,
orchestrator,business-writing,eligible,GREEN,UNTESTED,
orchestrator,clawhub,eligible,YELLOW,UNTESTED,
orchestrator,coding-agent,eligible,YELLOW,UNTESTED,
orchestrator,content-research,eligible,ORANGE,UNTESTED,
orchestrator,gog,eligible,YELLOW,UNTESTED,
orchestrator,google-workspace,eligible,GREEN,UNTESTED,
orchestrator,healthcheck,eligible,GREEN,UNTESTED,
orchestrator,heartbeat-pro,eligible,GREEN,WORKING,
orchestrator,himalaya,eligible,YELLOW,UNTESTED,
orchestrator,human-writing,eligible,GREEN,UNTESTED,
orchestrator,Market Research Agent,eligible,ORANGE,UNTESTED,
orchestrator,mcporter,eligible,YELLOW,UNTESTED,
orchestrator,memory-tiering,eligible,GREEN,WORKING,
orchestrator,microsoft-foundry,eligible,YELLOW,UNTESTED,
orchestrator,multi-search-engine,eligible,ORANGE,PARTIAL,PARTIAL: Cloudflare on directories
orchestrator,neural-memory,eligible,GREEN,WORKING,
orchestrator,node-connect,eligible,YELLOW,UNTESTED,
orchestrator,openclaw-auto-dream,eligible,GREEN,WORKING,
orchestrator,pollyreach,eligible,YELLOW,UNTESTED,
orchestrator,Sales Pipeline Tracker,eligible,ORANGE,UNTESTED,
orchestrator,sales-mastery,eligible,ORANGE,UNTESTED,
